e, e_dot, e_int, stamp, 
0.1667519448518855, -0.0835917245790685, 0.035833746836924606, 484274000000, 
0.15560463865919538, -0.07773385605727379, 0.03341875859916389, 484376000000, 
0.14519578825727342, -0.07185385531537358, 0.031170158117890284, 484478000000, 
0.13567480230908813, -0.06643278783369085, 0.02909834861503713, 484580000000, 
0.1271271831801446, -0.0602286835904294, 0.02719985158310041, 484682000000, 
0.11897438822962703, -0.055668046931537006, 0.02545175824792398, 484784000000, 
0.11160815476911079, -0.05173009470344603, 0.02384731507859216, 484886000000, 
0.10493105691775462, -0.04681110437290803, 0.022367573327766163, 484988000000, 
0.09846046769965788, -0.04382562356484302, 0.020999978625768217, 485090000000, 
0.09222166797199138, -0.042364629819210776, 0.019707546172626926, 485192000000, 
0.08636563700643762, -0.0403161023107342, 0.01846985151187246, 485294000000, 
0.08081403932397935, -0.038025428826706786, 0.01729342295349389, 485396000000, 
0.07544442901978043, -0.03640402662219063, 0.016174940356679827, 485498000000, 
0.07029631541141335, -0.03505907970855334, 0.015103652250344875, 485600000000, 
0.06561640769887234, -0.03276007106969366, 0.014090476808671074, 485668000000, 
0.06120637495902237, -0.03029980150796992, 0.013141273204620536, 485770000000, 
0.05713949995724432, -0.02825635913876005, 0.012264152174342602, 485872000000, 
0.053313113369031884, -0.026310871966634952, 0.011443932552353238, 485974000000, 
0.04985008761872978, -0.024298041128381815, 0.010686846729667066, 486076000000, 
0.04652389105981025, -0.022630741030738772, 0.009979139469838128, 486178000000, 
0.043459077784099964, -0.02130336611543271, 0.009322203764176, 486280000000, 
0.040784412606615694, -0.01913159484398186, 0.00871782543003506, 486382000000, 
0.03833764075549739, -0.01707145676200857, 0.008172075409747537, 486484000000, 
0.03592311773667056, -0.01620431623315044, 0.007669678073252243, 486586000000, 
0.03385268065741842, -0.014949866993596572, 0.007207562609972425, 486688000000, 
0.03187852957351711, -0.013481960543844837, 0.006776955197840406, 486790000000, 
0.029834390725397064, -0.013394299773404525, 0.006371040063755507, 486892000000, 
0.027988553118824422, -0.012966588182308966, 0.00598009822784924, 486994000000, 
0.0262204688975074, -0.012046406092965553, 0.005602894182781926, 487096000000, 
0.024612699176163266, -0.011252846475537185, 0.005254781412833006, 487198000000, 
0.02315324174878275, -0.01022409049574883, 0.004932427321496894, 487266000000, 
0.021607716463194926, -0.0100166090432278, 0.004624910492542729, 487368000000, 
0.020220576860784822, -0.009775549626659755, 0.0043321023381841664, 487470000000, 
0.019022263146246443, -0.00861817772316161, 0.004056703764681746, 487572000000, 
0.01785278996179751, -0.007892622996624373, 0.003806375331255252, 487674000000, 
0.01671083922797334, -0.007704746394243678, 0.003572392822401153, 487776000000, 
0.01552368285003558, -0.007763690372539767, 0.0033391541359870953, 487878000000, 
0.014420556435921883, -0.007634275973504856, 0.0031103385675953867, 487980000000, 
0.0132094832918499, -0.007713998527285604, 0.002876914838520491, 488082000000, 
